Time - Plot 0,Amplitude - Plot 0
8.9268,0.342663
8.9272,0.342663
8.9276,0.342663
8.928,0.342663
8.9284,0.340251
8.9288,0.340251
8.9292,0.340251
8.9296,0.340251
8.93,0.340251
8.9304,0.342663
8.9308,0.342663
8.9312,0.342663
8.9316,0.342663
8.932,0.342663
8.9324,0.342663
8.9328,0.342663
8.9332,0.340251
8.9336,0.340251
8.934,0.340251
8.9344,0.340251
8.9348,0.340251
8.9352,0.342663
8.9356,0.340251
8.936,0.345075
8.9364,0.342663
8.9368,0.342663
8.9372,0.345075
8.9376,0.342663
8.938,0.345075
8.9384,0.342663
8.9388,0.342663
8.9392,0.340251
8.9396,0.340251
8.94,0.342663
8.9404,0.342663
8.9408,0.342663
8.9412,0.345075
8.9416,0.342663
8.942,0.342663
8.9424,0.340251
8.9428,0.342663
8.9432,0.342663
8.9436,0.340251
8.944,0.340251
8.9444,0.340251
8.9448,0.342663
8.9452,0.342663
8.9456,0.342663
8.946,0.342663
8.9464,0.342663
8.9468,0.345075
8.9472,0.340251
8.9476,0.340251
8.948,0.340251
8.9484,0.340251
8.9488,0.342663
8.9492,0.342663
8.9496,0.342663
8.95,0.342663
8.9504,0.342663
8.9508,0.342663
8.9512,0.342663
8.9516,0.342663
8.952,0.340251
8.9524,0.340251
8.9528,0.342663
8.9532,0.342663
8.9536,0.342663
8.954,0.342663
8.9544,0.342663
8.9548,0.342663
8.9552,0.342663
8.9556,0.340251
8.956,0.340251
8.9564,0.340251
8.9568,0.340251
8.9572,0.340251
8.9576,0.340251
8.958,0.342663
8.9584,0.342663
8.9588,0.342663
8.9592,0.345075
8.9596,0.340251
8.96,0.342663
8.9604,0.337839
8.9608,0.342663
8.9612,0.342663
8.9616,0.342663
8.962,0.342663
8.9624,0.342663
8.9628,0.345075
8.9632,0.342663
8.9636,0.342663
8.964,0.342663
8.9644,0.340251
8.9648,0.340251
8.9652,0.340251
8.9656,0.340251
8.966,0.342663
8.9664,0.342663
8.9668,0.342663
8.9672,0.342663
8.9676,0.342663
8.968,0.342663
8.9684,0.340251
8.9688,0.340251
8.9692,0.340251
8.9696,0.340251
8.97,0.342663
8.9704,0.342663
8.9708,0.342663
8.9712,0.342663
8.9716,0.342663
8.972,0.342663
8.9724,0.340251
8.9728,0.340251
8.9732,0.340251
8.9736,0.340251
8.974,0.342663
8.9744,0.340251
8.9748,0.340251
8.9752,0.342663
8.9756,0.342663
8.976,0.345075
8.9764,0.342663
8.9768,0.342663
8.9772,0.342663
8.9776,0.342663
8.978,0.342663
8.9784,0.340251
8.9788,0.342663
8.9792,0.342663
8.9796,0.342663
8.98,0.342663
8.9804,0.342663
8.9808,0.345075
8.9812,0.342663
8.9816,0.342663
8.982,0.342663
8.9824,0.340251
8.9828,0.340251
8.9832,0.337839
8.9836,0.342663
8.984,0.342663
8.9844,0.342663
8.9848,0.345075
8.9852,0.342663
